speaker,vowel,duration,f1,f2
S05m,had,177,761,1470
S08M,had,228,778,1355
vEm,had,193,1015,1719
S07f,had,182,1011,1676
m,had,246,824,1477
vD,had,132,766,1395
vEm,had,154,1088,1755
vK,had,195,1017,1601
S06F,had,165,1211,1771
vD,had,131,826,1426
S06F,had,137,1228,1692
S05m,had,194,864,1585
S06F,had,144,1042,1457
S07f,had,192,1083,1749
vEm,had,178,1024,1748
vD,had,140,806,1464
vK,had,189,891,1506
S07f,had,171,936,1612
S08M,had,193,836,1346
S08M,had,203,682,1361
m,had,254,775,1445
m,had,241,815,1378
S07f,hard,259,627,1241
S08M,hard,325,707,965
vEm,hard,358,746,1074
S06F,hard,250,716,1048
S05m,hard,276,591,939
m,hard,371,631,1003
S05m,hard,250,687,961
m,hard,396,538,828
S08M,hard,277,770,971
vK,hard,282,782,1259
vEm,hard,317,799,1149
m,hard,408,577,948
S05m,hard,291,685,984
vD,hard,240,673,918
vD,hard,243,663,909
S07f,hard,260,653,1192
vEm,hard,368,812,1085
vD,hard,274,582,936
S06F,hard,232,694,1068
S07f,hard,253,678,1227
S08M,hard,329,672,1075
S06F,hard,255,930,1082
S05m,head,132,643,1757
S06F,head,102,870,2212
S07f,head,143,690,1498
S08M,head,212,678,1669
m,head,213,578,1824
vD,head,97,458,1775
vEm,head,133,712,2069
S05m,head,166,648,1782
S05m,head,176,675,1871
S06F,head,123,886,1546
S07f,head,134,729,1359
S08M,head,170,657,1658
vK,head,188,838,2133
vK,head,214,755,2118
S07f,head,153,772,2304
vD,head,91,566,1690
vD,head,111,576,1674
vEm,head,117,811,2147
S08M,head,144,620,1647
vD,head,97,606,1618
m,head,228,580,1834
S06F,head,109,578,823
S05m,heard,273,692,1693
S07f,heard,240,701,1742
S08M,heard,255,601,1299
m,heard,370,589,1814
vD,heard,220,568,1638
vEm,heard,342,831,2004
vEm,heard,361,686,1676
S05m,heard,268,680,1674
vD,heard,232,547,1347
S05m,heard,240,611,1381
S08M,heard,359,571,1360
S08M,heard,281,559,1292
S07f,heard,275,691,1779
m,heard,428,495,1464
S05m,heard,248,561,1346
S08M,heard,264,615,1584
m,heard,338,516,1435
vD,heard,236,556,1335
vEm,heard,354,845,2089
vK,heard,275,740,1996
m,heard,434,528,1809
vEm,heard,350,673,1651
vK,heard,232,711,1702
m,heard,421,456,1601
S06F,heard,249,723,1583
S05m,heard,238,611,1330
S05m,heard,239,649,1703
S06F,heard,241,707,1655
S07f,heard,274,735,1782
S06F,heard,205,722,1607
vEm,heard,342,776,1657
m,heard,381,572,1925
S06F,heed,227,410,3026
S08M,heed,243,274,2247
m,heed,352,285,2286
vD,heed,167,294,2024
vEm,heed,345,302,2811
vK,heed,239,363,2356
m,heed,366,257,2292
S05m,heed,216,284,2399
S07f,heed,260,374,2675
S08M,heed,310,287,2249
vEm,heed,348,341,2671
S06F,heed,211,343,3021
S07f,heed,228,362,2958
S08M,heed,275,290,2312
m,heed,413,261,2255
vD,heed,202,308,2237
vEm,heed,305,344,2677
S05m,heed,210,277,2233
S05m,heed,242,283,2312
vD,heed,208,315,2135
S06F,heed,234,332,2996
S07f,heed,233,376,2883
S07f,heed,235,332,2997
S05m,hid,118,448,2022
S06F,hid,122,536,2927
S07f,hid,107,430,2585
S08M,hid,185,452,2119
m,hid,188,381,2174
vEm,hid,105,414,2341
S06F,hid,114,477,2546
S06F,hid,126,518,2531
S05m,hid,136,396,2105
S07f,hid,137,560,2583
m,hid,210,411,2097
vK,hid,177,528,2473
S08M,hid,201,479,2095
vEm,hid,115,476,2361
S06F,hid,138,527,2593
S07f,hid,121,454,2616
vEm,hid,119,459,2372
vK,hid,187,557,2403
vD,hid,100,428,1874
m,hid,189,396,2154
S05m,hid,103,389,2105
S08M,hid,154,451,2033
m,hid,209,594,1828
S06F,hoard,234,356,655
S07f,hoard,261,460,821
vK,hoard,232,488,965
vK,hoard,266,455,915
vEm,hoard,367,427,834
vK,hoard,232,473,970
S05m,hoard,248,527,568
vD,hoard,229,447,604
S05m,hoard,247,507,618
S08M,hoard,310,506,2494
m,hoard,364,435,553
m,hoard,380,420,562
vEm,hoard,353,450,795
S05m,hoard,244,531,2829
S08M,hoard,262,497,619
S07f,hoard,256,489,766
m,hoard,366,403,614
S08M,hoard,261,516,566
vD,hoard,245,432,657
S06F,hoard,239,413,583
S05m,hod,135,590,967
vK,hod,181,596,1047
S06F,hod,124,538,953
vEm,hod,130,590,997
vD,hod,120,554,845
vEm,hod,135,659,1014
S06F,hod,120,556,916
S08M,hod,208,615,935
m,hod,179,572,812
S05m,hod,134,574,922
S07f,hod,136,574,1020
S07f,hod,135,574,1020
S07f,hod,152,629,1007
S08M,hod,169,700,736
vEm,hod,135,633,1046
vD,hod,115,564,866
S06F,hod,92,574,1012
vD,hod,103,500,858
m,hod,223,562,816
m,hod,252,675,754
vK,hod,120,554,1818
S08M,hod,166,454,682
vK,hod,156,600,1151
m,hod,184,433,1089
S05m,hod,137,580,859
S07f,hod,142,590,1026
S05m,hood,109,422,1565
S07f,hood,139,535,1915
S08M,hood,173,502,1501
vD,hood,103,416,1383
vEm,hood,106,461,1811
vK,hood,179,522,1802
S08M,hood,116,522,1409
S06F,hood,115,457,1743
S07f,hood,117,533,1866
m,hood,201,416,1080
S06F,hood,105,508,1750
S05m,hood,118,434,1709
vEm,hood,131,474,1762
S06F,hood,111,512,1867
S05m,hood,105,470,1608
S07f,hood,133,503,1865
S08M,hood,120,474,1399
vD,hood,103,417,1365
S08M,hood,96,499,1355
S08M,hood,130,507,1446
vEm,hood,115,475,1776
S06F,hood,123,511,1772
S08M,hood,136,497,1381
m,hood,197,392,1045
vEm,hoard,347,432,825
S06F,hoard,210,374,677
S05m,hud,128,710,1202
S06F,hud,93,827,1224
m,hud,193,608,1301
S07f,hud,109,723,1568
vEm,hud,103,818,1407
S05m,hud,107,720,1232
S06F,hud,111,861,1242
S06F,hud,108,806,1253
S07f,hud,117,681,1501
vD,hud,110,722,1168
vK,hud,103,803,1383
m,hud,239,581,1226
vEm,hud,125,839,1412
m,hud,217,624,1280
S05m,hud,109,830,1299
S07f,hud,119,680,1549
vD,hud,93,640,1139
vEm,hud,108,740,1366
vK,hud,153,774,1378
vD,hud,113,665,1215
S05m,whod,231,297,1912
S06F,whod,219,341,1941
S08M,whod,269,311,1578
m,whod,391,277,1448
vD,whod,225,323,1516
vEm,whod,287,330,1785
vK,whod,243,384,2356
m,whod,357,283,1555
S07f,whod,250,367,2250
S08M,whod,243,354,1588
S05m,whod,259,288,1786
S07f,whod,251,374,2211
m,whod,429,287,1203
vD,whod,223,317,1492
S06F,whod,183,346,1709
S08M,whod,220,319,1463
vK,whod,244,375,2268
vEm,whod,316,363,2008
S05m,whod,249,297,1772
vEm,whod,316,311,1777
S06F,whod,201,356,1951
vEm,whod,305,393,2008
S07f,whod,271,377,2091
vD,whod,200,307,1608
vK,whod,225,383,2313
vK,whod,173,535,1864
