"Test","Group","Participant","word","nTrials","nCorrect","Accuracy"
"post","HV","VID_Listener1","had",4,4,1
"post","HV","VID_Listener1","haired",4,3,0.75
"post","HV","VID_Listener1","hard",4,2,0.5
"post","HV","VID_Listener1","hayed",4,3,0.75
"post","HV","VID_Listener1","head",5,4,0.8
"post","HV","VID_Listener1","hear",4,3,0.75
"post","HV","VID_Listener1","heard",4,4,1
"post","HV","VID_Listener1","heed",4,0,0
"post","HV","VID_Listener1","hid",4,2,0.5
"post","HV","VID_Listener1","hide",4,4,1
"post","HV","VID_Listener1","hoard",4,1,0.25
"post","HV","VID_Listener1","hod",4,2,0.5
"post","HV","VID_Listener1","hoed",4,0,0
"post","HV","VID_Listener1","hood",4,1,0.25
"post","HV","VID_Listener1","howd",4,3,0.75
"post","HV","VID_Listener1","hoyd",3,1,0.333333333333333
"post","HV","VID_Listener1","hud",4,1,0.25
"post","HV","VID_Listener1","whod",4,1,0.25
"post","HV","VID_Listener2","had",6,3,0.5
"post","HV","VID_Listener2","haired",6,0,0
"post","HV","VID_Listener2","hard",6,3,0.5
"post","HV","VID_Listener2","hayed",6,0,0
"post","HV","VID_Listener2","head",6,0,0
"post","HV","VID_Listener2","hear",6,5,0.833333333333333
"post","HV","VID_Listener2","heard",6,1,0.166666666666667
"post","HV","VID_Listener2","heed",6,4,0.666666666666667
"post","HV","VID_Listener2","hid",6,5,0.833333333333333
"post","HV","VID_Listener2","hide",6,6,1
"post","HV","VID_Listener2","hoard",6,0,0
"post","HV","VID_Listener2","hod",6,1,0.166666666666667
"post","HV","VID_Listener2","hoed",6,0,0
"post","HV","VID_Listener2","hood",6,6,1
"post","HV","VID_Listener2","howd",6,5,0.833333333333333
"post","HV","VID_Listener2","hoyd",5,1,0.2
"post","HV","VID_Listener2","hud",6,0,0
"post","HV","VID_Listener2","whod",7,2,0.285714285714286
"post","HV","VID_Listener3","had",7,3,0.428571428571429
"post","HV","VID_Listener3","haired",6,0,0
"post","HV","VID_Listener3","hard",6,2,0.333333333333333
"post","HV","VID_Listener3","hayed",6,4,0.666666666666667
"post","HV","VID_Listener3","head",6,5,0.833333333333333
"post","HV","VID_Listener3","hear",7,6,0.857142857142857
"post","HV","VID_Listener3","heard",8,3,0.375
"post","HV","VID_Listener3","heed",7,2,0.285714285714286
"post","HV","VID_Listener3","hid",7,3,0.428571428571429
"post","HV","VID_Listener3","hide",7,6,0.857142857142857
"post","HV","VID_Listener3","hoard",7,0,0
"post","HV","VID_Listener3","hod",7,2,0.285714285714286
"post","HV","VID_Listener3","hoed",7,1,0.142857142857143
"post","HV","VID_Listener3","hood",7,4,0.571428571428571
"post","HV","VID_Listener3","howd",7,4,0.571428571428571
"post","HV","VID_Listener3","hoyd",6,1,0.166666666666667
"post","HV","VID_Listener3","hud",6,0,0
"post","HV","VID_Listener3","whod",4,0,0
"post","HV","VID_Listener4","had",7,1,0.142857142857143
"post","HV","VID_Listener4","haired",7,0,0
"post","HV","VID_Listener4","hard",7,0,0
"post","HV","VID_Listener4","hayed",7,1,0.142857142857143
"post","HV","VID_Listener4","head",7,1,0.142857142857143
"post","HV","VID_Listener4","hear",7,1,0.142857142857143
"post","HV","VID_Listener4","heard",7,0,0
"post","HV","VID_Listener4","heed",7,0,0
"post","HV","VID_Listener4","hid",7,1,0.142857142857143
"post","HV","VID_Listener4","hide",7,3,0.428571428571429
"post","HV","VID_Listener4","hoard",7,0,0
"post","HV","VID_Listener4","hod",7,0,0
"post","HV","VID_Listener4","hoed",7,2,0.285714285714286
"post","HV","VID_Listener4","hood",7,1,0.142857142857143
"post","HV","VID_Listener4","howd",7,1,0.142857142857143
"post","HV","VID_Listener4","hoyd",6,0,0
"post","HV","VID_Listener4","hud",7,1,0.142857142857143
"post","HV","VID_Listener4","whod",7,0,0
"post","HV","VID_Listener5","had",7,3,0.428571428571429
"post","HV","VID_Listener5","haired",7,0,0
"post","HV","VID_Listener5","hard",7,4,0.571428571428571
"post","HV","VID_Listener5","hayed",7,6,0.857142857142857
"post","HV","VID_Listener5","head",7,1,0.142857142857143
"post","HV","VID_Listener5","hear",7,4,0.571428571428571
"post","HV","VID_Listener5","heard",7,2,0.285714285714286
"post","HV","VID_Listener5","heed",7,3,0.428571428571429
"post","HV","VID_Listener5","hid",7,6,0.857142857142857
"post","HV","VID_Listener5","hide",7,7,1
"post","HV","VID_Listener5","hoard",7,0,0
"post","HV","VID_Listener5","hod",7,5,0.714285714285714
"post","HV","VID_Listener5","hoed",7,3,0.428571428571429
"post","HV","VID_Listener5","hood",7,4,0.571428571428571
"post","HV","VID_Listener5","howd",7,4,0.571428571428571
"post","HV","VID_Listener5","hoyd",7,4,0.571428571428571
"post","HV","VID_Listener5","hud",7,2,0.285714285714286
"post","HV","VID_Listener5","whod",7,4,0.571428571428571
"post","LV","VID_Listener1","had",9,4,0.444444444444444
"post","LV","VID_Listener1","haired",9,5,0.555555555555556
"post","LV","VID_Listener1","hard",9,6,0.666666666666667
"post","LV","VID_Listener1","hayed",9,8,0.888888888888889
"post","LV","VID_Listener1","head",8,6,0.75
"post","LV","VID_Listener1","hear",9,9,1
"post","LV","VID_Listener1","heard",9,4,0.444444444444444
"post","LV","VID_Listener1","heed",9,4,0.444444444444444
"post","LV","VID_Listener1","hid",9,8,0.888888888888889
"post","LV","VID_Listener1","hide",9,9,1
"post","LV","VID_Listener1","hoard",9,3,0.333333333333333
"post","LV","VID_Listener1","hod",9,5,0.555555555555556
"post","LV","VID_Listener1","hoed",9,3,0.333333333333333
"post","LV","VID_Listener1","hood",9,5,0.555555555555556
"post","LV","VID_Listener1","howd",8,7,0.875
"post","LV","VID_Listener1","hoyd",8,3,0.375
"post","LV","VID_Listener1","hud",8,3,0.375
"post","LV","VID_Listener1","whod",6,2,0.333333333333333
"post","LV","VID_Listener2","had",5,4,0.8
"post","LV","VID_Listener2","haired",5,0,0
"post","LV","VID_Listener2","hard",5,3,0.6
"post","LV","VID_Listener2","hayed",5,0,0
"post","LV","VID_Listener2","head",5,0,0
"post","LV","VID_Listener2","hear",5,4,0.8
"post","LV","VID_Listener2","heard",5,0,0
"post","LV","VID_Listener2","heed",5,5,1
"post","LV","VID_Listener2","hid",5,3,0.6
"post","LV","VID_Listener2","hide",5,5,1
"post","LV","VID_Listener2","hoard",5,1,0.2
"post","LV","VID_Listener2","hod",5,0,0
"post","LV","VID_Listener2","hoed",5,0,0
"post","LV","VID_Listener2","hood",5,3,0.6
"post","LV","VID_Listener2","howd",6,5,0.833333333333333
"post","LV","VID_Listener2","hoyd",7,1,0.142857142857143
"post","LV","VID_Listener2","hud",6,1,0.166666666666667
"post","LV","VID_Listener2","whod",5,5,1
"post","LV","VID_Listener3","had",6,0,0
"post","LV","VID_Listener3","haired",6,0,0
"post","LV","VID_Listener3","hard",6,2,0.333333333333333
"post","LV","VID_Listener3","hayed",6,5,0.833333333333333
"post","LV","VID_Listener3","head",6,6,1
"post","LV","VID_Listener3","hear",6,5,0.833333333333333
"post","LV","VID_Listener3","heard",6,3,0.5
"post","LV","VID_Listener3","heed",6,1,0.166666666666667
"post","LV","VID_Listener3","hid",6,4,0.666666666666667
"post","LV","VID_Listener3","hide",6,5,0.833333333333333
"post","LV","VID_Listener3","hoard",6,0,0
"post","LV","VID_Listener3","hod",6,2,0.333333333333333
"post","LV","VID_Listener3","hoed",6,1,0.166666666666667
"post","LV","VID_Listener3","hood",6,3,0.5
"post","LV","VID_Listener3","howd",6,1,0.166666666666667
"post","LV","VID_Listener3","hoyd",6,2,0.333333333333333
"post","LV","VID_Listener3","hud",7,1,0.142857142857143
"post","LV","VID_Listener3","whod",5,1,0.2
"post","LV","VID_Listener4","had",7,1,0.142857142857143
"post","LV","VID_Listener4","haired",7,2,0.285714285714286
"post","LV","VID_Listener4","hard",7,1,0.142857142857143
"post","LV","VID_Listener4","hayed",7,1,0.142857142857143
"post","LV","VID_Listener4","head",6,2,0.333333333333333
"post","LV","VID_Listener4","hear",6,1,0.166666666666667
"post","LV","VID_Listener4","heard",6,1,0.166666666666667
"post","LV","VID_Listener4","heed",5,0,0
"post","LV","VID_Listener4","hid",6,2,0.333333333333333
"post","LV","VID_Listener4","hide",6,1,0.166666666666667
"post","LV","VID_Listener4","hoard",6,0,0
"post","LV","VID_Listener4","hod",6,1,0.166666666666667
"post","LV","VID_Listener4","hoed",6,0,0
"post","LV","VID_Listener4","hood",6,1,0.166666666666667
"post","LV","VID_Listener4","howd",6,0,0
"post","LV","VID_Listener4","hoyd",6,0,0
"post","LV","VID_Listener4","hud",6,1,0.166666666666667
"post","LV","VID_Listener4","whod",5,2,0.4
"post","LV","VID_Listener5","had",6,2,0.333333333333333
"post","LV","VID_Listener5","haired",6,3,0.5
"post","LV","VID_Listener5","hard",6,4,0.666666666666667
"post","LV","VID_Listener5","hayed",6,3,0.5
"post","LV","VID_Listener5","head",7,0,0
"post","LV","VID_Listener5","hear",7,3,0.428571428571429
"post","LV","VID_Listener5","heard",7,1,0.142857142857143
"post","LV","VID_Listener5","heed",7,6,0.857142857142857
"post","LV","VID_Listener5","hid",7,4,0.571428571428571
"post","LV","VID_Listener5","hide",7,6,0.857142857142857
"post","LV","VID_Listener5","hoard",7,3,0.428571428571429
"post","LV","VID_Listener5","hod",7,4,0.571428571428571
"post","LV","VID_Listener5","hoed",7,3,0.428571428571429
"post","LV","VID_Listener5","hood",6,5,0.833333333333333
"post","LV","VID_Listener5","howd",7,6,0.857142857142857
"post","LV","VID_Listener5","hoyd",7,6,0.857142857142857
"post","LV","VID_Listener5","hud",7,3,0.428571428571429
"post","LV","VID_Listener5","whod",6,2,0.333333333333333
"pre","HV","VID_Listener1","had",6,5,0.833333333333333
"pre","HV","VID_Listener1","haired",6,2,0.333333333333333
"pre","HV","VID_Listener1","hard",6,4,0.666666666666667
"pre","HV","VID_Listener1","hayed",6,3,0.5
"pre","HV","VID_Listener1","head",6,6,1
"pre","HV","VID_Listener1","hear",6,4,0.666666666666667
"pre","HV","VID_Listener1","heard",6,1,0.166666666666667
"pre","HV","VID_Listener1","heed",6,1,0.166666666666667
"pre","HV","VID_Listener1","hid",6,3,0.5
"pre","HV","VID_Listener1","hide",6,6,1
"pre","HV","VID_Listener1","hoard",6,0,0
"pre","HV","VID_Listener1","hod",6,3,0.5
"pre","HV","VID_Listener1","hoed",5,0,0
"pre","HV","VID_Listener1","hood",6,1,0.166666666666667
"pre","HV","VID_Listener1","howd",6,5,0.833333333333333
"pre","HV","VID_Listener1","hoyd",6,1,0.166666666666667
"pre","HV","VID_Listener1","hud",6,3,0.5
"pre","HV","VID_Listener1","whod",7,2,0.285714285714286
"pre","HV","VID_Listener2","had",7,4,0.571428571428571
"pre","HV","VID_Listener2","haired",7,0,0
"pre","HV","VID_Listener2","hard",7,3,0.428571428571429
"pre","HV","VID_Listener2","hayed",7,1,0.142857142857143
"pre","HV","VID_Listener2","head",7,2,0.285714285714286
"pre","HV","VID_Listener2","hear",7,6,0.857142857142857
"pre","HV","VID_Listener2","heard",7,1,0.142857142857143
"pre","HV","VID_Listener2","heed",7,2,0.285714285714286
"pre","HV","VID_Listener2","hid",7,5,0.714285714285714
"pre","HV","VID_Listener2","hide",7,6,0.857142857142857
"pre","HV","VID_Listener2","hoard",7,1,0.142857142857143
"pre","HV","VID_Listener2","hod",7,1,0.142857142857143
"pre","HV","VID_Listener2","hoed",7,0,0
"pre","HV","VID_Listener2","hood",7,4,0.571428571428571
"pre","HV","VID_Listener2","howd",7,7,1
"pre","HV","VID_Listener2","hoyd",7,0,0
"pre","HV","VID_Listener2","hud",7,2,0.285714285714286
"pre","HV","VID_Listener2","whod",6,0,0
"pre","HV","VID_Listener3","had",5,3,0.6
"pre","HV","VID_Listener3","haired",6,0,0
"pre","HV","VID_Listener3","hard",6,0,0
"pre","HV","VID_Listener3","hayed",6,1,0.166666666666667
"pre","HV","VID_Listener3","head",6,4,0.666666666666667
"pre","HV","VID_Listener3","hear",6,5,0.833333333333333
"pre","HV","VID_Listener3","heard",6,0,0
"pre","HV","VID_Listener3","heed",6,1,0.166666666666667
"pre","HV","VID_Listener3","hid",6,2,0.333333333333333
"pre","HV","VID_Listener3","hide",6,5,0.833333333333333
"pre","HV","VID_Listener3","hoard",6,0,0
"pre","HV","VID_Listener3","hod",6,0,0
"pre","HV","VID_Listener3","hoed",6,0,0
"pre","HV","VID_Listener3","hood",6,1,0.166666666666667
"pre","HV","VID_Listener3","howd",6,4,0.666666666666667
"pre","HV","VID_Listener3","hoyd",6,1,0.166666666666667
"pre","HV","VID_Listener3","hud",6,0,0
"pre","HV","VID_Listener3","whod",7,0,0
"pre","HV","VID_Listener4","had",6,0,0
"pre","HV","VID_Listener4","haired",6,1,0.166666666666667
"pre","HV","VID_Listener4","hard",6,1,0.166666666666667
"pre","HV","VID_Listener4","hayed",6,2,0.333333333333333
"pre","HV","VID_Listener4","head",6,3,0.5
"pre","HV","VID_Listener4","hear",6,3,0.5
"pre","HV","VID_Listener4","heard",6,0,0
"pre","HV","VID_Listener4","heed",6,0,0
"pre","HV","VID_Listener4","hid",6,1,0.166666666666667
"pre","HV","VID_Listener4","hide",6,0,0
"pre","HV","VID_Listener4","hoard",6,2,0.333333333333333
"pre","HV","VID_Listener4","hod",6,1,0.166666666666667
"pre","HV","VID_Listener4","hoed",6,0,0
"pre","HV","VID_Listener4","hood",6,0,0
"pre","HV","VID_Listener4","howd",6,0,0
"pre","HV","VID_Listener4","hoyd",6,0,0
"pre","HV","VID_Listener4","hud",6,0,0
"pre","HV","VID_Listener4","whod",6,1,0.166666666666667
"pre","HV","VID_Listener5","had",5,2,0.4
"pre","HV","VID_Listener5","haired",6,0,0
"pre","HV","VID_Listener5","hard",6,3,0.5
"pre","HV","VID_Listener5","hayed",6,4,0.666666666666667
"pre","HV","VID_Listener5","head",6,0,0
"pre","HV","VID_Listener5","hear",6,4,0.666666666666667
"pre","HV","VID_Listener5","heard",6,0,0
"pre","HV","VID_Listener5","heed",6,2,0.333333333333333
"pre","HV","VID_Listener5","hid",6,4,0.666666666666667
"pre","HV","VID_Listener5","hide",6,6,1
"pre","HV","VID_Listener5","hoard",6,0,0
"pre","HV","VID_Listener5","hod",6,4,0.666666666666667
"pre","HV","VID_Listener5","hoed",6,1,0.166666666666667
"pre","HV","VID_Listener5","hood",6,2,0.333333333333333
"pre","HV","VID_Listener5","howd",6,3,0.5
"pre","HV","VID_Listener5","hoyd",6,4,0.666666666666667
"pre","HV","VID_Listener5","hud",6,2,0.333333333333333
"pre","HV","VID_Listener5","whod",7,2,0.285714285714286
"pre","LV","VID_Listener1","had",7,6,0.857142857142857
"pre","LV","VID_Listener1","haired",7,1,0.142857142857143
"pre","LV","VID_Listener1","hard",7,4,0.571428571428571
"pre","LV","VID_Listener1","hayed",7,5,0.714285714285714
"pre","LV","VID_Listener1","head",7,5,0.714285714285714
"pre","LV","VID_Listener1","hear",7,5,0.714285714285714
"pre","LV","VID_Listener1","heard",7,3,0.428571428571429
"pre","LV","VID_Listener1","heed",6,1,0.166666666666667
"pre","LV","VID_Listener1","hid",7,6,0.857142857142857
"pre","LV","VID_Listener1","hide",7,6,0.857142857142857
"pre","LV","VID_Listener1","hoard",7,1,0.142857142857143
"pre","LV","VID_Listener1","hod",7,2,0.285714285714286
"pre","LV","VID_Listener1","hoed",7,0,0
"pre","LV","VID_Listener1","hood",7,4,0.571428571428571
"pre","LV","VID_Listener1","howd",7,7,1
"pre","LV","VID_Listener1","hoyd",8,4,0.5
"pre","LV","VID_Listener1","hud",6,2,0.333333333333333
"pre","LV","VID_Listener1","whod",7,2,0.285714285714286
"pre","LV","VID_Listener2","had",9,3,0.333333333333333
"pre","LV","VID_Listener2","haired",9,0,0
"pre","LV","VID_Listener2","hard",9,7,0.777777777777778
"pre","LV","VID_Listener2","hayed",9,0,0
"pre","LV","VID_Listener2","head",7,1,0.142857142857143
"pre","LV","VID_Listener2","hear",7,5,0.714285714285714
"pre","LV","VID_Listener2","heard",7,1,0.142857142857143
"pre","LV","VID_Listener2","heed",7,4,0.571428571428571
"pre","LV","VID_Listener2","hid",7,6,0.857142857142857
"pre","LV","VID_Listener2","hide",7,6,0.857142857142857
"pre","LV","VID_Listener2","hoard",7,0,0
"pre","LV","VID_Listener2","hod",7,2,0.285714285714286
"pre","LV","VID_Listener2","hoed",7,0,0
"pre","LV","VID_Listener2","hood",7,3,0.428571428571429
"pre","LV","VID_Listener2","howd",7,5,0.714285714285714
"pre","LV","VID_Listener2","hoyd",7,3,0.428571428571429
"pre","LV","VID_Listener2","hud",6,2,0.333333333333333
"pre","LV","VID_Listener2","whod",7,0,0
"pre","LV","VID_Listener3","C011-hoyd",1,0,0
"pre","LV","VID_Listener3","had",8,5,0.625
"pre","LV","VID_Listener3","haired",8,1,0.125
"pre","LV","VID_Listener3","hard",8,2,0.25
"pre","LV","VID_Listener3","hayed",8,2,0.25
"pre","LV","VID_Listener3","head",7,4,0.571428571428571
"pre","LV","VID_Listener3","hear",7,6,0.857142857142857
"pre","LV","VID_Listener3","heard",6,2,0.333333333333333
"pre","LV","VID_Listener3","heed",7,0,0
"pre","LV","VID_Listener3","hid",7,2,0.285714285714286
"pre","LV","VID_Listener3","hide",7,5,0.714285714285714
"pre","LV","VID_Listener3","hoard",6,0,0
"pre","LV","VID_Listener3","hod",6,2,0.333333333333333
"pre","LV","VID_Listener3","hoed",6,0,0
"pre","LV","VID_Listener3","hood",7,3,0.428571428571429
"pre","LV","VID_Listener3","howd",7,1,0.142857142857143
"pre","LV","VID_Listener3","hoyd",7,2,0.285714285714286
"pre","LV","VID_Listener3","hud",6,0,0
"pre","LV","VID_Listener3","whod",7,2,0.285714285714286
"pre","LV","VID_Listener4","had",7,0,0
"pre","LV","VID_Listener4","haired",7,0,0
"pre","LV","VID_Listener4","hard",7,1,0.142857142857143
"pre","LV","VID_Listener4","hayed",7,2,0.285714285714286
"pre","LV","VID_Listener4","head",6,1,0.166666666666667
"pre","LV","VID_Listener4","hear",6,2,0.333333333333333
"pre","LV","VID_Listener4","heard",6,0,0
"pre","LV","VID_Listener4","heed",6,0,0
"pre","LV","VID_Listener4","hid",6,1,0.166666666666667
"pre","LV","VID_Listener4","hide",6,4,0.666666666666667
"pre","LV","VID_Listener4","hoard",7,0,0
"pre","LV","VID_Listener4","hod",7,0,0
"pre","LV","VID_Listener4","hoed",7,0,0
"pre","LV","VID_Listener4","hood",6,0,0
"pre","LV","VID_Listener4","howd",6,0,0
"pre","LV","VID_Listener4","hoyd",7,1,0.142857142857143
"pre","LV","VID_Listener4","hud",5,1,0.2
"pre","LV","VID_Listener4","whod",8,1,0.125
"pre","LV","VID_Listener5","had",7,2,0.285714285714286
"pre","LV","VID_Listener5","haired",7,1,0.142857142857143
"pre","LV","VID_Listener5","hard",7,1,0.142857142857143
"pre","LV","VID_Listener5","hayed",7,3,0.428571428571429
"pre","LV","VID_Listener5","head",6,1,0.166666666666667
"pre","LV","VID_Listener5","hear",6,1,0.166666666666667
"pre","LV","VID_Listener5","heard",5,0,0
"pre","LV","VID_Listener5","heed",6,3,0.5
"pre","LV","VID_Listener5","hid",6,4,0.666666666666667
"pre","LV","VID_Listener5","hide",6,4,0.666666666666667
"pre","LV","VID_Listener5","hoard",6,1,0.166666666666667
"pre","LV","VID_Listener5","hod",6,4,0.666666666666667
"pre","LV","VID_Listener5","hoed",6,2,0.333333333333333
"pre","LV","VID_Listener5","hood",6,3,0.5
"pre","LV","VID_Listener5","howd",6,3,0.5
"pre","LV","VID_Listener5","hoyd",6,4,0.666666666666667
"pre","LV","VID_Listener5","hud",5,1,0.2
"pre","LV","VID_Listener5","whod",4,2,0.5
