participant,vowel,group,test,duration,f1,f2
C010,had,HV,pre,116,1130,1188
C010,haired,HV,pre,214,906,1413
C010,hard,HV,pre,207,771,1401
C010,hayed,HV,pre,207,737,2632
C010,head,HV,pre,118,766,1323
C010,hear,HV,pre,245,631,2890
C010,heard,HV,pre,181,738,1501
C010,heed,HV,pre,209,502,3341
C010,hid,HV,pre,106,689,2569
C010,hide,HV,pre,249,816,1421
C010,hoard,HV,pre,183,697,1268
C010,hod,HV,pre,119,746,1371
C010,hoed,HV,pre,252,518,766
C010,hood,HV,pre,101,627,1144
C010,howd,HV,pre,239,881,1260
C010,hoyd,HV,pre,240,743,1367
C010,hud,HV,pre,114,864,1656
C010,whod,HV,pre,182,482,1363
C011,had,HV,pre,147,1108,1865
C011,haired,HV,pre,166,1030,2553
C011,hard,HV,pre,238,1165,1511
C011,hayed,HV,pre,176,960,1059
C011,head,HV,pre,108,839,2551
C011,hear,HV,pre,269,518,3054
C011,heard,HV,pre,219,951,1345
C011,heed,HV,pre,182,461,3146
C011,hid,HV,pre,98,701,2807
C011,hide,HV,pre,207,1105,1339
C011,hoard,HV,pre,207,693,1075
C011,hod,HV,pre,98,869,1322
C011,hoed,HV,pre,216,837,1252
C011,hood,HV,pre,106,858,2654
C011,howd,HV,pre,174,997,1490
C011,hoyd,HV,pre,247,821,1897
C011,hud,HV,pre,76,1042,1543
C011,whod,HV,pre,226,430,1250
C012,had,HV,pre,176,1148,1982
C012,haired,HV,pre,199,823,2387
C012,hard,HV,pre,223,860,1424
C012,hayed,HV,pre,277,595,2610
C012,head,HV,pre,149,710,1889
C012,hear,HV,pre,253,1057,1931
C012,heard,HV,pre,187,727,1725
C012,heed,HV,pre,195,428,2960
C012,hid,HV,pre,161,617,2743
C012,hide,HV,pre,238,949,1687
C012,hoard,HV,pre,222,588,1202
C012,hod,HV,pre,175,835,1416
C012,hoed,HV,pre,260,852,1674
C012,hood,HV,pre,165,770,1616
C012,howd,HV,pre,297,1086,1853
C012,hoyd,HV,pre,286,836,1601
C012,hud,HV,pre,143,921,1707
C012,whod,HV,pre,284,402,1712
C013,had,HV,pre,156,1314,2091
C013,haired,HV,pre,232,1093,2401
C013,hard,HV,pre,190,1225,1735
C013,hayed,HV,pre,232,755,2271
C013,head,HV,pre,183,731,1692
C013,hear,HV,pre,260,819,1638
C013,heard,HV,pre,203,1226,2103
C013,heed,HV,pre,198,557,3124
C013,hid,HV,pre,70,549,2038
C013,hide,HV,pre,236,1243,1917
C013,hoard,HV,pre,205,844,1564
C013,hod,HV,pre,142,998,1782
C013,hoed,HV,pre,197,1004,1174
C013,hood,HV,pre,89,639,1692
C013,howd,HV,pre,246,1127,1297
C013,hoyd,HV,pre,261,698,1517
C013,hud,HV,pre,127,1022,1872
C013,whod,HV,pre,168,514,1569
C014,had,HV,pre,253,926,1048
C014,haired,HV,pre,328,741,1598
C014,hard,HV,pre,230,831,1259
C014,hayed,HV,pre,239,516,1488
C014,head,HV,pre,63,538,1094
C014,hear,HV,pre,290,570,3019
C014,heard,HV,pre,136,896,1029
C014,heed,HV,pre,318,546,3236
C014,hid,HV,pre,316,599,2971
C014,hide,HV,pre,391,795,1511
C014,hoard,HV,pre,214,528,1178
C014,hod,HV,pre,205,637,1569
C014,hoed,HV,pre,337,877,1631
C014,hood,HV,pre,168,683,981
C014,howd,HV,pre,288,902,1813
C014,hoyd,HV,pre,410,615,849
C014,hud,HV,pre,135,728,1817
C014,whod,HV,pre,235,480,1120
C015,had,HV,pre,202,1113,1922
C015,haired,HV,pre,235,795,1599
C015,hard,HV,pre,241,909,1370
C015,hayed,HV,pre,322,556,2310
C015,head,HV,pre,150,844,1517
C015,hear,HV,pre,270,774,1932
C015,heard,HV,pre,268,792,1857
C015,heed,HV,pre,248,547,2420
C015,hid,HV,pre,174,789,1803
C015,hide,HV,pre,238,1040,1557
C015,hoard,HV,pre,238,790,1451
C015,hod,HV,pre,202,758,1413
C015,hoed,HV,pre,281,562,2110
C015,hood,HV,pre,238,778,2140
C015,howd,HV,pre,297,1098,1670
C015,hoyd,HV,pre,281,1147,1472
C015,hud,HV,pre,185,911,1705
C015,whod,HV,pre,271,535,2234
C017,had,HV,pre,278,948,1612
C017,haired,HV,pre,219,951,1734
C017,hard,HV,pre,249,1021,1798
C017,hayed,HV,pre,252,524,3071
C017,head,HV,pre,126,862,1942
C017,hear,HV,pre,265,709,2275
C017,heard,HV,pre,205,994,1661
C017,heed,HV,pre,212,535,2591
C017,hid,HV,pre,282,776,2352
C017,hide,HV,pre,241,969,1780
C017,hoard,HV,pre,176,569,972
C017,hod,HV,pre,153,651,1102
C017,hoed,HV,pre,220,561,2523
C017,hood,HV,pre,183,594,887
C017,howd,HV,pre,188,828,1470
C017,hoyd,HV,pre,254,990,1328
C017,hud,HV,pre,136,863,1228
C017,whod,HV,pre,131,579,2472
C018,had,HV,pre,180,1130,2050
C018,haired,HV,pre,163,996,2268
C018,hard,HV,pre,197,1033,1633
C018,hayed,HV,pre,176,726,2317
C018,head,HV,pre,224,1099,2149
C018,hear,HV,pre,246,771,2509
C018,heard,HV,pre,200,1031,1812
C018,heed,HV,pre,236,466,3124
C018,hid,HV,pre,186,520,2980
C018,hide,HV,pre,334,439,1047
C018,hoard,HV,pre,226,747,1344
C018,hod,HV,pre,119,781,1271
C018,hoed,HV,pre,201,842,1153
C018,hood,HV,pre,164,500,1287
C018,howd,HV,pre,259,973,1706
C018,hoyd,HV,pre,225,698,1571
C018,hud,HV,pre,162,970,1667
C018,whod,HV,pre,166,480,1473
C019,had,HV,pre,147,1100,1613
C019,haired,HV,pre,198,906,2399
C019,hard,HV,pre,232,923,1577
C019,hayed,HV,pre,216,564,1900
C019,head,HV,pre,119,580,2497
C019,hear,HV,pre,282,572,2004
C019,heard,HV,pre,207,952,1902
C019,heed,HV,pre,269,470,3227
C019,hid,HV,pre,124,591,3143
C019,hide,HV,pre,308,990,1994
C019,hoard,HV,pre,257,568,808
C019,hod,HV,pre,184,607,1345
C019,hoed,HV,pre,283,557,1446
C019,hood,HV,pre,72,600,1475
C019,howd,HV,pre,268,936,1421
C019,hoyd,HV,pre,248,705,1303
C019,hud,HV,pre,129,980,1580
C019,whod,HV,pre,253,567,2925
C01,had,HV,pre,151,1077,1758
C01,haired,HV,pre,175,764,2062
C01,hard,HV,pre,202,801,1317
C01,hayed,HV,pre,166,782,2674
C01,head,HV,pre,189,801,2604
C01,hear,HV,pre,218,529,3190
C01,heard,HV,pre,161,919,2278
C01,heed,HV,pre,240,603,3147
C01,hid,HV,pre,137,616,2489
C01,hide,HV,pre,238,1040,1799
C01,hoard,HV,pre,190,812,1411
C01,hod,HV,pre,62,753,1322
C01,hoed,HV,pre,155,820,2027
C01,hood,HV,pre,134,733,1392
C01,howd,HV,pre,170,1078,1751
C01,hoyd,HV,pre,245,814,1357
C01,hud,HV,pre,123,950,1363
C01,whod,HV,pre,189,531,2588
C020,had,HV,pre,147,1110,2002
C020,haired,HV,pre,197,1046,1130
C020,hard,HV,pre,113,840,1410
C020,hayed,HV,pre,208,459,3347
C020,head,HV,pre,144,668,2796
C020,hear,HV,pre,218,513,2876
C020,heard,HV,pre,227,1092,1730
C020,heed,HV,pre,173,509,3457
C020,hid,HV,pre,156,577,3385
C020,hide,HV,pre,265,589,1563
C020,hoard,HV,pre,273,647,1081
C020,hod,HV,pre,249,622,1238
C020,hoed,HV,pre,221,523,2677
C020,hood,HV,pre,93,513,1482
C020,howd,HV,pre,233,726,1616
C020,hoyd,HV,pre,196,531,673
C020,hud,HV,pre,192,681,1649
C020,whod,HV,pre,203,520,2135
C021,had,HV,pre,145,1230,1499
C021,haired,HV,pre,221,1139,1211
C021,hard,HV,pre,219,948,1572
C021,hayed,HV,pre,237,627,2987
C021,head,HV,pre,75,782,2676
C021,hear,HV,pre,220,951,2791
C021,heard,HV,pre,198,177,912
C021,heed,HV,pre,167,339,2424
C021,hid,HV,pre,109,969,2717
C021,hide,HV,pre,273,868,1642
C021,hoard,HV,pre,261,663,1285
C021,hod,HV,pre,118,920,1241
C021,hoed,HV,pre,254,730,2777
C021,hood,HV,pre,161,990,1440
C021,howd,HV,pre,254,1135,1160
C021,hoyd,HV,pre,292,602,1669
C021,hud,HV,pre,92,1009,2060
C021,whod,HV,pre,169,359,2096
C023,had,HV,pre,273,1100,1765
C023,haired,HV,pre,234,1004,2686
C023,hard,HV,pre,349,958,1790
C023,hayed,HV,pre,332,581,3142
C023,head,HV,pre,196,769,2799
C023,hear,HV,pre,277,586,3142
C023,heard,HV,pre,246,948,1631
C023,heed,HV,pre,349,338,3232
C023,hid,HV,pre,104,624,2900
C023,hide,HV,pre,263,1112,1899
C023,hoard,HV,pre,271,814,1257
C023,hod,HV,pre,238,889,1205
C023,hoed,HV,pre,287,611,1796
C023,hood,HV,pre,126,919,1536
C023,howd,HV,pre,234,936,1495
C023,hoyd,HV,pre,293,862,1657
C023,hud,HV,pre,149,940,1645
C023,whod,HV,pre,179,433,841
C024,had,HV,pre,191,867,2023
C024,haired,HV,pre,232,1000,2035
C024,hard,HV,pre,313,816,1393
C024,hayed,HV,pre,220,707,2694
C024,head,HV,pre,164,672,2409
C024,hear,HV,pre,266,637,2582
C024,heard,HV,pre,259,1127,1703
C024,heed,HV,pre,250,454,3100
C024,hid,HV,pre,119,653,2487
C024,hide,HV,pre,272,1057,1724
C024,hoard,HV,pre,295,742,1401
C024,hod,HV,pre,133,734,1473
C024,hoed,HV,pre,186,636,2512
C024,hood,HV,pre,106,766,1620
C024,howd,HV,pre,248,955,1567
C024,hoyd,HV,pre,306,724,1645
C024,hud,HV,pre,75,896,1661
C024,whod,HV,pre,200,478,1334
C02,had,HV,pre,231,1086,2007
C02,haired,HV,pre,257,938,2310
C02,hard,HV,pre,235,854,1160
C02,hayed,HV,pre,215,501,1668
C02,head,HV,pre,96,746,2203
C02,hear,HV,pre,341,715,2092
C02,heard,HV,pre,260,724,1855
C02,heed,HV,pre,231,496,2940
C02,hid,HV,pre,87,505,2542
C02,hide,HV,pre,194,1305,1601
C02,hoard,HV,pre,250,722,1221
C02,hod,HV,pre,95,890,1506
C02,hoed,HV,pre,249,688,1960
C02,hood,HV,pre,90,545,1969
C02,howd,HV,pre,209,1078,1868
C02,hoyd,HV,pre,178,791,1954
C02,hud,HV,pre,110,980,1786
C02,whod,HV,pre,234,496,1300
C03,had,HV,pre,148,1086,1984
C03,haired,HV,pre,237,971,2353
C03,hard,HV,pre,271,850,1429
C03,hayed,HV,pre,230,781,2770
C03,head,HV,pre,151,872,2453
C03,hear,HV,pre,221,687,2170
C03,heard,HV,pre,208,915,2340
C03,heed,HV,pre,247,521,3337
C03,hid,HV,pre,142,827,2848
C03,hide,HV,pre,227,1102,1762
C03,hoard,HV,pre,328,622,1170
C03,hod,HV,pre,73,825,1405
C03,hoed,HV,pre,269,677,1958
C03,hood,HV,pre,100,703,2213
C03,howd,HV,pre,317,1127,1969
C03,hoyd,HV,pre,204,929,1836
C03,hud,HV,pre,109,962,1675
C03,whod,HV,pre,219,469,2101
C04,had,HV,pre,113,1117,1491
C04,haired,HV,pre,196,1065,1706
C04,hard,HV,pre,185,1095,1560
C04,hayed,HV,pre,179,900,2097
C04,head,HV,pre,107,834,1969
C04,hear,HV,pre,320,915,2076
C04,heard,HV,pre,144,897,1382
C04,heed,HV,pre,298,537,2921
C04,hid,HV,pre,51,582,2100
C04,hide,HV,pre,303,1024,1991
C04,hoard,HV,pre,243,807,1240
C04,hod,HV,pre,126,845,1320
C04,hoed,HV,pre,267,767,2352
C04,hood,HV,pre,129,825,1646
C04,howd,HV,pre,241,1134,1654
C04,hoyd,HV,pre,263,768,1084
C04,hud,HV,pre,93,983,1696
C04,whod,HV,pre,204,660,1185
C05,had,HV,pre,152,1001,1961
C05,haired,HV,pre,272,780,1597
C05,hard,HV,pre,203,834,1626
C05,hayed,HV,pre,305,468,2121
C05,head,HV,pre,180,904,2428
C05,hear,HV,pre,234,1032,2112
C05,heard,HV,pre,256,990,1830
C05,heed,HV,pre,321,479,3209
C05,hid,HV,pre,167,648,2650
C05,hide,HV,pre,305,875,1199
C05,hoard,HV,pre,273,478,1176
C05,hod,HV,pre,139,737,1420
C05,hoed,HV,pre,286,824,1940
C05,hood,HV,pre,173,507,1820
C05,howd,HV,pre,244,1138,1882
C05,hoyd,HV,pre,304,600,1989
C05,hud,HV,pre,176,1003,1939
C05,whod,HV,pre,274,478,1675
C06,had,HV,pre,182,1464,2040
C06,haired,HV,pre,282,1173,2094
C06,hard,HV,pre,213,1227,1486
C06,hayed,HV,pre,280,384,2899
C06,head,HV,pre,111,682,2469
C06,hear,HV,pre,319,463,2550
C06,heard,HV,pre,199,1246,2183
C06,heed,HV,pre,223,491,3153
C06,hid,HV,pre,81,439,3045
C06,hide,HV,pre,230,1425,1987
C06,hoard,HV,pre,251,387,1473
C06,hod,HV,pre,80,593,1598
C06,hoed,HV,pre,276,520,1426
C06,hood,HV,pre,161,306,1495
C06,howd,HV,pre,318,1314,1513
C06,hoyd,HV,pre,262,470,1970
C06,hud,HV,pre,127,1165,1985
C06,whod,HV,pre,243,498,1376
C07,had,HV,pre,163,1045,1835
C07,haired,HV,pre,170,960,2003
C07,hard,HV,pre,197,944,1593
C07,hayed,HV,pre,247,596,1599
C07,head,HV,pre,187,776,2387
C07,hear,HV,pre,265,505,2703
C07,heard,HV,pre,200,1001,1899
C07,heed,HV,pre,158,471,2937
C07,hid,HV,pre,105,530,2318
C07,hide,HV,pre,191,958,1657
C07,hoard,HV,pre,258,780,1313
C07,hod,HV,pre,187,860,1421
C07,hoed,HV,pre,176,749,2085
C07,hood,HV,pre,96,766,1541
C07,howd,HV,pre,198,1035,1649
C07,hoyd,HV,pre,254,823,1833
C07,hud,HV,pre,123,791,1517
C07,whod,HV,pre,211,487,1484
C08,had,HV,pre,156,896,1695
C08,haired,HV,pre,181,1097,1711
C08,hard,HV,pre,177,906,1342
C08,hayed,HV,pre,265,560,2734
C08,head,HV,pre,155,690,1731
C08,hear,HV,pre,251,618,2181
C08,heard,HV,pre,234,1025,1109
C08,heed,HV,pre,187,463,3208
C08,hid,HV,pre,113,468,1143
C08,hide,HV,pre,211,885,1806
C08,hoard,HV,pre,181,612,1177
C08,hod,HV,pre,147,627,1342
C08,hoed,HV,pre,263,560,2442
C08,hood,HV,pre,130,637,1262
C08,howd,HV,pre,202,832,1618
C08,hoyd,HV,pre,240,561,2465
C08,hud,HV,pre,153,934,1674
C08,whod,HV,pre,161,471,860
C09,had,HV,pre,201,937,1980
C09,haired,HV,pre,347,1073,2318
C09,hard,HV,pre,271,690,1588
C09,hayed,HV,pre,349,540,2602
C09,head,HV,pre,155,686,2518
C09,hear,HV,pre,224,520,2481
C09,heard,HV,pre,321,896,2147
C09,heed,HV,pre,362,399,2950
C09,hid,HV,pre,100,520,2615
C09,hide,HV,pre,354,1134,2103
C09,hoard,HV,pre,285,539,1278
C09,hod,HV,pre,157,645,1603
C09,hoed,HV,pre,401,570,2663
C09,hood,HV,pre,132,620,2481
C09,howd,HV,pre,286,855,1666
C09,hoyd,HV,pre,388,612,2586
C09,hud,HV,pre,125,720,2064
C09,whod,HV,pre,297,395,2612
